trabajador,dia,turno,disposicion
1,1,manana,3
1,1,tarde,7
1,1,noche,5
1,2,manana,5
1,2,tarde,3
1,2,noche,10
1,3,manana,4
1,3,tarde,4
1,3,noche,9
1,4,manana,0
1,4,tarde,2
1,4,noche,1
1,5,manana,10
1,5,tarde,6
1,5,noche,6
1,6,manana,6
1,6,tarde,7
1,6,noche,0
1,7,manana,8
1,7,tarde,0
1,7,noche,8
1,8,manana,5
1,8,tarde,0
1,8,noche,9
1,9,manana,6
1,9,tarde,0
1,9,noche,8
1,10,manana,5
1,10,tarde,8
1,10,noche,7
1,11,manana,4
1,11,tarde,9
1,11,noche,5
1,12,manana,10
1,12,tarde,1
1,12,noche,1
1,13,manana,9
1,13,tarde,1
1,13,noche,8
1,14,manana,1
1,14,tarde,8
1,14,noche,2
1,15,manana,8
1,15,tarde,1
1,15,noche,9
1,16,manana,7
1,16,tarde,9
1,16,noche,10
1,17,manana,3
1,17,tarde,1
1,17,noche,10
1,18,manana,6
1,18,tarde,4
1,18,noche,7
1,19,manana,7
1,19,tarde,2
1,19,noche,10
2,1,manana,5
2,1,tarde,1
2,1,noche,2
2,2,manana,10
2,2,tarde,9
2,2,noche,5
2,3,manana,7
2,3,tarde,8
2,3,noche,6
2,4,manana,0
2,4,tarde,6
2,4,noche,9
2,5,manana,4
2,5,tarde,0
2,5,noche,9
2,6,manana,6
2,6,tarde,0
2,6,noche,0
2,7,manana,3
2,7,tarde,5
2,7,noche,6
2,8,manana,2
2,8,tarde,4
2,8,noche,3
2,9,manana,9
2,9,tarde,10
2,9,noche,5
2,10,manana,8
2,10,tarde,7
2,10,noche,10
2,11,manana,10
2,11,tarde,3
2,11,noche,9
2,12,manana,5
2,12,tarde,9
2,12,noche,2
2,13,manana,3
2,13,tarde,2
2,13,noche,3
2,14,manana,4
2,14,tarde,2
2,14,noche,1
2,15,manana,0
2,15,tarde,8
2,15,noche,9
2,16,manana,0
2,16,tarde,2
2,16,noche,8
2,17,manana,5
2,17,tarde,1
2,17,noche,5
2,18,manana,5
2,18,tarde,3
2,18,noche,10
2,19,manana,3
2,19,tarde,3
2,19,noche,4
3,1,manana,2
3,1,tarde,6
3,1,noche,4
3,2,manana,3
3,2,tarde,3
3,2,noche,5
3,3,manana,0
3,3,tarde,2
3,3,noche,7
3,4,manana,1
3,4,tarde,6
3,4,noche,0
3,5,manana,7
3,5,tarde,3
3,5,noche,6
3,6,manana,0
3,6,tarde,7
3,6,noche,7
3,7,manana,6
3,7,tarde,3
3,7,noche,3
3,8,manana,6
3,8,tarde,9
3,8,noche,1
3,9,manana,1
3,9,tarde,2
3,9,noche,8
3,10,manana,9
3,10,tarde,8
3,10,noche,1
3,11,manana,2
3,11,tarde,3
3,11,noche,1
3,12,manana,7
3,12,tarde,9
3,12,noche,5
3,13,manana,5
3,13,tarde,6
3,13,noche,3
3,14,manana,3
3,14,tarde,1
3,14,noche,8
3,15,manana,5
3,15,tarde,7
3,15,noche,4
3,16,manana,8
3,16,tarde,1
3,16,noche,7
3,17,manana,0
3,17,tarde,0
3,17,noche,6
3,18,manana,6
3,18,tarde,6
3,18,noche,1
3,19,manana,5
3,19,tarde,5
3,19,noche,4
4,1,manana,1
4,1,tarde,6
4,1,noche,10
4,2,manana,4
4,2,tarde,3
4,2,noche,1
4,3,manana,10
