trabajador,dia,turno,disposicion
1,1,manana,6
1,1,tarde,7
1,1,noche,5
1,2,manana,3
1,2,tarde,1
1,2,noche,8
1,3,manana,8
1,3,tarde,6
1,3,noche,9
1,4,manana,9
1,4,tarde,6
1,4,noche,4
1,5,manana,5
1,5,tarde,7
1,5,noche,9
1,6,manana,0
1,6,tarde,3
1,6,noche,5
1,7,manana,10
1,7,tarde,7
1,7,noche,0
2,1,manana,5
2,1,tarde,2
2,1,noche,0
2,2,manana,10
2,2,tarde,2
2,2,noche,2
2,3,manana,8
2,3,tarde,9
2,3,noche,2
2,4,manana,3
2,4,tarde,0
2,4,noche,10
2,5,manana,6
2,5,tarde,9
2,5,noche,7
2,6,manana,7
2,6,tarde,9
2,6,noche,8
2,7,manana,7
2,7,tarde,10
2,7,noche,0
3,1,manana,1
3,1,tarde,0
3,1,noche,2
3,2,manana,5
3,2,tarde,10
3,2,noche,10
3,3,manana,2
3,3,tarde,8
3,3,noche,2
3,4,manana,1
3,4,tarde,7
3,4,noche,5
3,5,manana,6
3,5,tarde,2
3,5,noche,1
3,6,manana,6
3,6,tarde,9
3,6,noche,9
3,7,manana,3
3,7,tarde,1
3,7,noche,3
4,1,manana,0
4,1,tarde,4
4,1,noche,6
4,2,manana,2
4,2,tarde,4
4,2,noche,5
4,3,manana,10
4,3,tarde,2
4,3,noche,0
4,4,manana,6
4,4,tarde,4
4,4,noche,10
4,5,manana,3
4,5,tarde,3
4,5,noche,10
4,6,manana,5
4,6,tarde,9
4,6,noche,6
4,7,manana,5
4,7,tarde,2
4,7,noche,4
5,1,manana,10
5,1,tarde,8
5,1,noche,8
5,2,manana,1
5,2,tarde,2
5,2,noche,3
5,3,manana,9
5,3,tarde,5
5,3,noche,7
5,4,manana,9
5,4,tarde,0
5,4,noche,8
5,5,manana,9
5,5,tarde,5
5,5,noche,3
5,6,manana,9
5,6,tarde,10
5,6,noche,10
5,7,manana,8
5,7,tarde,7
5,7,noche,9
6,1,manana,5
6,1,tarde,9
6,1,noche,3
6,2,manana,9
6,2,tarde,9
6,2,noche,4
6,3,manana,7
6,3,tarde,2
6,3,noche,10
6,4,manana,6
6,4,tarde,3
6,4,noche,2
6,5,manana,7
6,5,tarde,1
6,5,noche,9
6,6,manana,5
6,6,tarde,2
6,6,noche,5
6,7,manana,1
6,7,tarde,8
6,7,noche,6
7,1,manana,0
7,1,tarde,2
7,1,noche,4
7,2,manana,0
7,2,tarde,8
7,2,noche,7
7,3,manana,6
7,3,tarde,3
7,3,noche,9
7,4,manana,1
7,4,tarde,10
7,4,noche,9
7,5,manana,3
7,5,tarde,0
7,5,noche,8
7,6,manana,6
7,6,tarde,9
7,6,noche,8
7,7,manana,2
7,7,tarde,0
7,7,noche,7
8,1,manana,7
8,1,tarde,9
8,1,noche,7
8,2,manana,1
8,2,tarde,1
8,2,noche,6
8,3,manana,9
8,3,tarde,5
8,3,noche,8
8,4,manana,9
8,4,tarde,10
8,4,noche,9
8,5,manana,10
8,5,tarde,7
8,5,noche,4
8,6,manana,5
8,6,tarde,7
8,6,noche,0
8,7,manana,7
8,7,tarde,0
8,7,noche,1
9,1,manana,10
9,1,tarde,9
9,1,noche,5
9,2,manana,1
9,2,tarde,1
9,2,noche,6
9,3,manana,8
9,3,tarde,6
9,3,noche,8
9,4,manana,6
9,4,tarde,5
9,4,noche,5
9,5,manana,6
9,5,tarde,8
9,5,noche,8
9,6,manana,9
9,6,tarde,8
9,6,noche,8
9,7,manana,9
9,7,tarde,6
9,7,noche,7
10,1,manana,6
10,1,tarde,2
10,1,noche,7
10,2,manana,1
10,2,tarde,10
10,2,noche,1
10,3,manana,1
10,3,tarde,0
10,3,noche,4
10,4,manana,8
10,4,tarde,3
10,4,noche,9
10,5,manana,5
10,5,tarde,2
10,5,noche,7
10,6,manana,4
10,6,tarde,9
10,6,noche,4
10,7,manana,2
10,7,tarde,5
10,7,noche,3
11,1,manana,1
11,1,tarde,7
11,1,noche,10
11,2,manana,1
11,2,tarde,4
11,2,noche,2
11,3,manana,9
11,3,tarde,9
11,3,noche,8
11,4,manana,3
11,4,tarde,6
11,4,noche,4
11,5,manana,1
11,5,tarde,9
11,5,noche,4
11,6,manana,8
11,6,tarde,10
11,6,noche,8
11,7,manana,8
11,7,tarde,5
11,7,noche,3
12,1,manana,7
12,1,tarde,9
12,1,noche,8
12,2,manana,6
12,2,tarde,0
12,2,noche,3
12,3,manana,0
12,3,tarde,1
12,3,noche,9
12,4,manana,10
12,4,tarde,2
12,4,noche,2
12,5,manana,9
12,5,tarde,1
12,5,noche,9
12,6,manana,7
12,6,tarde,10
12,6,noche,6
12,7,manana,10
12,7,tarde,8
12,7,noche,5
13,1,manana,1
13,1,tarde,4
13,1,noche,8
13,2,manana,4
13,2,tarde,5
13,2,noche,4
13,3,manana,5
13,3,tarde,10
13,3,noche,5
13,4,manana,4
13,4,tarde,7
13,4,noche,6
