trabajador,dia,turno,disposicion
1,1,dia,10
1,1,noche,4
1,2,dia,1
1,2,noche,7
1,3,dia,4
1,3,noche,1
1,4,dia,10
1,4,noche,9
1,5,dia,7
1,5,noche,3
1,6,dia,9
1,6,noche,8
2,1,dia,2
2,1,noche,3
2,2,dia,8
2,2,noche,7
2,3,dia,4
2,3,noche,5
2,4,dia,3
2,4,noche,6
2,5,dia,6
2,5,noche,7
2,6,dia,9
2,6,noche,6
3,1,dia,2
3,1,noche,4
3,2,dia,8
3,2,noche,6
3,3,dia,3
3,3,noche,9
3,4,dia,2
3,4,noche,10
3,5,dia,4
3,5,noche,4
3,6,dia,4
3,6,noche,1
4,1,dia,6
4,1,noche,10
4,2,dia,0
4,2,noche,5
4,3,dia,8
4,3,noche,9
4,4,dia,6
4,4,noche,8
4,5,dia,3
4,5,noche,9
4,6,dia,1
4,6,noche,2
5,1,dia,2
5,1,noche,0
5,2,dia,4
5,2,noche,6
5,3,dia,7
5,3,noche,7
5,4,dia,0
5,4,noche,2
5,5,dia,5
5,5,noche,3
5,6,dia,6
5,6,noche,5
6,1,dia,10
6,1,noche,9
6,2,dia,1
6,2,noche,4
6,3,dia,6
6,3,noche,7
6,4,dia,10
6,4,noche,8
6,5,dia,5
6,5,noche,6
6,6,dia,8
6,6,noche,7
7,1,dia,0
7,1,noche,10
7,2,dia,0
7,2,noche,6
7,3,dia,1
7,3,noche,2
7,4,dia,10
7,4,noche,0
7,5,dia,4
7,5,noche,3
7,6,dia,6
7,6,noche,0
8,1,dia,2
8,1,noche,7
8,2,dia,10
8,2,noche,6
8,3,dia,2
8,3,noche,5
8,4,dia,8
8,4,noche,7
8,5,dia,9
8,5,noche,6
8,6,dia,7
8,6,noche,2
9,1,dia,8
9,1,noche,1
9,2,dia,4
9,2,noche,4
9,3,dia,7
9,3,noche,2
9,4,dia,5
9,4,noche,6
9,5,dia,0
9,5,noche,9
9,6,dia,9
9,6,noche,9
10,1,dia,0
10,1,noche,10
10,2,dia,1
10,2,noche,6
10,3,dia,4
10,3,noche,5
10,4,dia,8
10,4,noche,10
10,5,dia,6
10,5,noche,3
10,6,dia,2
10,6,noche,9
11,1,dia,5
11,1,noche,10
11,2,dia,8
11,2,noche,7
11,3,dia,1
11,3,noche,8
11,4,dia,8
11,4,noche,4
11,5,dia,4
11,5,noche,8
11,6,dia,1
11,6,noche,6
12,1,dia,2
12,1,noche,9
12,2,dia,1
12,2,noche,9
12,3,dia,6
12,3,noche,9
12,4,dia,6
12,4,noche,10
12,5,dia,3
12,5,noche,3
12,6,dia,9
12,6,noche,1
13,1,dia,4
13,1,noche,4
13,2,dia,5
13,2,noche,7
13,3,dia,4
13,3,noche,8
13,4,dia,10
13,4,noche,8
13,5,dia,1
13,5,noche,7
13,6,dia,8
13,6,noche,0
14,1,dia,8
14,1,noche,8
14,2,dia,6
14,2,noche,6
14,3,dia,2
14,3,noche,4
14,4,dia,2
14,4,noche,4
14,5,dia,7
14,5,noche,3
14,6,dia,8
14,6,noche,6
15,1,dia,3
15,1,noche,2
15,2,dia,4
15,2,noche,3
15,3,dia,4
15,3,noche,1
15,4,dia,3
15,4,noche,1
15,5,dia,7
15,5,noche,0
15,6,dia,9
15,6,noche,0
