trabajador,dia,turno,disposicion
1,1,manana,4
1,1,tarde,4
1,1,noche,3
1,2,manana,0
1,2,tarde,10
1,2,noche,9
1,3,manana,6
1,3,tarde,3
1,3,noche,4
1,4,manana,10
1,4,tarde,8
1,4,noche,0
1,5,manana,7
1,5,tarde,9
1,5,noche,7
1,6,manana,0
1,6,tarde,5
1,6,noche,0
1,7,manana,9
1,7,tarde,7
1,7,noche,5
1,8,manana,4
1,8,tarde,5
1,8,noche,1
1,9,manana,0
1,9,tarde,5
1,9,noche,2
1,10,manana,6
1,10,tarde,5
1,10,noche,0
1,11,manana,1
1,11,tarde,6
1,11,noche,7
1,12,manana,3
1,12,tarde,1
1,12,noche,8
1,13,manana,8
1,13,tarde,2
1,13,noche,6
1,14,manana,1
1,14,tarde,7
1,14,noche,0
1,15,manana,2
1,15,tarde,10
1,15,noche,4
1,16,manana,3
1,16,tarde,7
1,16,noche,6
1,17,manana,5
1,17,tarde,4
1,17,noche,5
1,18,manana,6
1,18,tarde,2
1,18,noche,8
2,1,manana,4
2,1,tarde,1
2,1,noche,7
2,2,manana,10
2,2,tarde,7
2,2,noche,2
2,3,manana,2
2,3,tarde,5
2,3,noche,6
2,4,manana,0
2,4,tarde,5
2,4,noche,3
2,5,manana,1
2,5,tarde,3
2,5,noche,4
2,6,manana,0
2,6,tarde,2
2,6,noche,6
2,7,manana,6
2,7,tarde,5
2,7,noche,0
2,8,manana,2
2,8,tarde,10
2,8,noche,3
2,9,manana,7
2,9,tarde,10
2,9,noche,4
2,10,manana,1
2,10,tarde,6
2,10,noche,7
2,11,manana,8
2,11,tarde,7
2,11,noche,10
2,12,manana,2
2,12,tarde,5
2,12,noche,6
2,13,manana,8
2,13,tarde,6
2,13,noche,2
2,14,manana,1
2,14,tarde,1
2,14,noche,0
2,15,manana,2
2,15,tarde,2
2,15,noche,5
2,16,manana,8
2,16,tarde,0
2,16,noche,10
2,17,manana,3
2,17,tarde,0
2,17,noche,10
2,18,manana,5
2,18,tarde,6
2,18,noche,9
3,1,manana,0
3,1,tarde,6
3,1,noche,7
3,2,manana,4
3,2,tarde,4
3,2,noche,7
3,3,manana,1
3,3,tarde,6
3,3,noche,3
3,4,manana,9
3,4,tarde,2
3,4,noche,8
3,5,manana,2
3,5,tarde,3
3,5,noche,4
3,6,manana,1
3,6,tarde,4
3,6,noche,3
3,7,manana,10
3,7,tarde,6
3,7,noche,3
3,8,manana,7
3,8,tarde,1
3,8,noche,8
3,9,manana,9
3,9,tarde,2
3,9,noche,3
3,10,manana,9
3,10,tarde,10
3,10,noche,10
3,11,manana,2
3,11,tarde,3
3,11,noche,1
3,12,manana,2
3,12,tarde,6
3,12,noche,0
3,13,manana,4
3,13,tarde,3
3,13,noche,2
3,14,manana,6
3,14,tarde,0
3,14,noche,9
3,15,manana,3
3,15,tarde,1
3,15,noche,0
3,16,manana,6
3,16,tarde,6
3,16,noche,8
3,17,manana,4
3,17,tarde,10
3,17,noche,3
3,18,manana,3
3,18,tarde,5
3,18,noche,6
4,1,manana,7
4,1,tarde,0
4,1,noche,8
4,2,manana,6
4,2,tarde,10
4,2,noche,0
4,3,manana,4
4,3,tarde,1
4,3,noche,4
4,4,manana,5
4,4,tarde,4
4,4,noche,5
4,5,manana,6
4,5,tarde,3
4,5,noche,5
4,6,manana,0
4,6,tarde,2
4,6,noche,0
4,7,manana,0
4,7,tarde,0
4,7,noche,10
4,8,manana,5
4,8,tarde,3
4,8,noche,4
4,9,manana,7
4,9,tarde,4
4,9,noche,9
4,10,manana,1
4,10,tarde,6
4,10,noche,2
4,11,manana,4
4,11,tarde,7
4,11,noche,5
4,12,manana,5
4,12,tarde,4
4,12,noche,1
4,13,manana,1
4,13,tarde,10
4,13,noche,0
4,14,manana,10
4,14,tarde,8
4,14,noche,2
4,15,manana,5
4,15,tarde,5
4,15,noche,5
4,16,manana,9
4,16,tarde,8
4,16,noche,9
4,17,manana,5
4,17,tarde,3
4,17,noche,10
4,18,manana,4
4,18,tarde,3
4,18,noche,9
5,1,manana,6
5,1,tarde,1
5,1,noche,1
5,2,manana,2
5,2,tarde,10
5,2,noche,9
5,3,manana,1
5,3,tarde,0
5,3,noche,9
5,4,manana,10
5,4,tarde,3
5,4,noche,3
5,5,manana,7
5,5,tarde,1
5,5,noche,1
5,6,manana,8
5,6,tarde,9
5,6,noche,5
5,7,manana,4
5,7,tarde,7
5,7,noche,3
5,8,manana,8
5,8,tarde,2
5,8,noche,0
5,9,manana,2
5,9,tarde,3
5,9,noche,6
5,10,manana,8
5,10,tarde,4
5,10,noche,8
5,11,manana,5
5,11,tarde,5
5,11,noche,7
5,12,manana,10
5,12,tarde,1
5,12,noche,6
5,13,manana,1
5,13,tarde,7
5,13,noche,6
5,14,manana,8
5,14,tarde,8
5,14,noche,0
5,15,manana,2
5,15,tarde,9
5,15,noche,4
5,16,manana,2
5,16,tarde,4
5,16,noche,0
5,17,manana,9
5,17,tarde,0
5,17,noche,3
5,18,manana,6
5,18,tarde,7
5,18,noche,10
6,1,manana,8
6,1,tarde,8
6,1,noche,1
6,2,manana,2
6,2,tarde,7
6,2,noche,8
6,3,manana,6
6,3,tarde,8
6,3,noche,6
6,4,manana,6
6,4,tarde,9
6,4,noche,4
6,5,manana,3
6,5,tarde,2
6,5,noche,0
6,6,manana,2
6,6,tarde,9
6,6,noche,3
6,7,manana,9
6,7,tarde,0
6,7,noche,8
6,8,manana,7
6,8,tarde,8
6,8,noche,8
6,9,manana,4
6,9,tarde,4
6,9,noche,3
6,10,manana,4
6,10,tarde,4
6,10,noche,8
6,11,manana,1
6,11,tarde,2
6,11,noche,3
6,12,manana,0
6,12,tarde,8
6,12,noche,3
6,13,manana,4
6,13,tarde,0
6,13,noche,10
6,14,manana,2
6,14,tarde,4
6,14,noche,2
6,15,manana,4
6,15,tarde,0
6,15,noche,10
6,16,manana,3
6,16,tarde,3
6,16,noche,8
6,17,manana,1
6,17,tarde,0
6,17,noche,10
6,18,manana,5
6,18,tarde,10
6,18,noche,9
7,1,manana,5
7,1,tarde,5
7,1,noche,1
7,2,manana,8
7,2,tarde,4
7,2,noche,2
7,3,manana,6
7,3,tarde,9
7,3,noche,4
7,4,manana,5
7,4,tarde,0
7,4,noche,10
7,5,manana,0
7,5,tarde,5
7,5,noche,3
7,6,manana,4
7,6,tarde,2
7,6,noche,4
7,7,manana,0
7,7,tarde,8
7,7,noche,10
7,8,manana,9
7,8,tarde,1
7,8,noche,6
7,9,manana,10
7,9,tarde,4
7,9,noche,10
7,10,manana,10
7,10,tarde,9
7,10,noche,8
7,11,manana,3
7,11,tarde,7
7,11,noche,3
7,12,manana,5
7,12,tarde,4
7,12,noche,3
7,13,manana,9
7,13,tarde,10
7,13,noche,6
7,14,manana,2
7,14,tarde,7
7,14,noche,3
7,15,manana,6
7,15,tarde,5
7,15,noche,2
7,16,manana,7
7,16,tarde,1
7,16,noche,7
7,17,manana,2
7,17,tarde,7
7,17,noche,2
7,18,manana,2
7,18,tarde,3
7,18,noche,9
8,1,manana,7
8,1,tarde,2
8,1,noche,10
8,2,manana,4
8,2,tarde,0
8,2,noche,4
8,3,manana,2
8,3,tarde,2
8,3,noche,6
8,4,manana,10
8,4,tarde,9
8,4,noche,3
8,5,manana,1
8,5,tarde,2
8,5,noche,1
8,6,manana,6
8,6,tarde,3
8,6,noche,7
8,7,manana,10
8,7,tarde,6
8,7,noche,1
8,8,manana,8
8,8,tarde,2
8,8,noche,0
8,9,manana,9
8,9,tarde,1
8,9,noche,6
8,10,manana,6
8,10,tarde,0
8,10,noche,1
8,11,manana,0
8,11,tarde,10
8,11,noche,0
8,12,manana,2
8,12,tarde,3
8,12,noche,1
8,13,manana,4
8,13,tarde,2
8,13,noche,10
8,14,manana,9
8,14,tarde,0
8,14,noche,0
8,15,manana,1
8,15,tarde,8
8,15,noche,5
8,16,manana,1
8,16,tarde,3
8,16,noche,2
8,17,manana,7
8,17,tarde,9
8,17,noche,7
8,18,manana,2
8,18,tarde,4
8,18,noche,5
9,1,manana,7
9,1,tarde,2
9,1,noche,3
9,2,manana,0
9,2,tarde,8
9,2,noche,4
9,3,manana,10
9,3,tarde,8
9,3,noche,1
9,4,manana,0
9,4,tarde,0
9,4,noche,1
9,5,manana,8
9,5,tarde,4
9,5,noche,1
9,6,manana,8
9,6,tarde,6
9,6,noche,2
9,7,manana,0
9,7,tarde,3
9,7,noche,0
9,8,manana,3
9,8,tarde,6
9,8,noche,6
9,9,manana,2
9,9,tarde,5
9,9,noche,10
9,10,manana,4
9,10,tarde,3
9,10,noche,10
9,11,manana,6
9,11,tarde,10
9,11,noche,1
9,12,manana,7
9,12,tarde,2
9,12,noche,1
9,13,manana,3
9,13,tarde,1
9,13,noche,4
9,14,manana,5
9,14,tarde,1
9,14,noche,9
9,15,manana,5
9,15,tarde,1
9,15,noche,5
9,16,manana,1
9,16,tarde,0
9,16,noche,9
9,17,manana,2
9,17,tarde,2
9,17,noche,6
9,18,manana,8
9,18,tarde,5
9,18,noche,9
10,1,manana,2
10,1,tarde,10
10,1,noche,6
10,2,manana,2
10,2,tarde,10
10,2,noche,10
10,3,manana,4
10,3,tarde,9
10,3,noche,4
10,4,manana,5
10,4,tarde,1
10,4,noche,4
10,5,manana,7
10,5,tarde,10
10,5,noche,5
10,6,manana,4
10,6,tarde,1
10,6,noche,0
10,7,manana,2
10,7,tarde,10
10,7,noche,2
10,8,manana,5
10,8,tarde,2
10,8,noche,6
10,9,manana,7
10,9,tarde,7
10,9,noche,1
10,10,manana,1
10,10,tarde,9
10,10,noche,6
10,11,manana,4
10,11,tarde,2
10,11,noche,1
10,12,manana,5
10,12,tarde,2
10,12,noche,2
10,13,manana,6
10,13,tarde,5
10,13,noche,5
10,14,manana,7
10,14,tarde,6
10,14,noche,7
10,15,manana,6
10,15,tarde,9
10,15,noche,10
10,16,manana,5
10,16,tarde,2
10,16,noche,10
10,17,manana,3
10,17,tarde,6
10,17,noche,6
10,18,manana,8
10,18,tarde,7
10,18,noche,8
11,1,manana,8
11,1,tarde,7
11,1,noche,8
11,2,manana,8
11,2,tarde,3
11,2,noche,6
11,3,manana,1
11,3,tarde,9
11,3,noche,6
11,4,manana,8
11,4,tarde,9
11,4,noche,3
11,5,manana,1
11,5,tarde,3
11,5,noche,5
