trabajador,dia,turno,disposicion
1,1,manana,7
1,1,tarde,10
1,1,noche,9
1,2,manana,1
1,2,tarde,8
1,2,noche,0
1,3,manana,5
1,3,tarde,5
1,3,noche,2
1,4,manana,6
1,4,tarde,9
1,4,noche,6
1,5,manana,5
1,5,tarde,8
1,5,noche,10
1,6,manana,2
1,6,tarde,7
1,6,noche,1
1,7,manana,0
1,7,tarde,9
1,7,noche,1
1,8,manana,0
1,8,tarde,4
1,8,noche,3
2,1,manana,0
2,1,tarde,0
2,1,noche,6
2,2,manana,8
2,2,tarde,4
2,2,noche,10
2,3,manana,8
2,3,tarde,6
2,3,noche,6
2,4,manana,6
2,4,tarde,1
2,4,noche,10
2,5,manana,8
2,5,tarde,8
2,5,noche,9
2,6,manana,2
2,6,tarde,4
2,6,noche,1
2,7,manana,4
2,7,tarde,1
2,7,noche,8
2,8,manana,3
2,8,tarde,2
2,8,noche,8
3,1,manana,5
3,1,tarde,6
3,1,noche,9
3,2,manana,10
3,2,tarde,10
3,2,noche,10
3,3,manana,10
3,3,tarde,1
3,3,noche,4
3,4,manana,6
3,4,tarde,3
3,4,noche,0
3,5,manana,3
3,5,tarde,1
3,5,noche,6
3,6,manana,1
3,6,tarde,7
3,6,noche,9
3,7,manana,9
3,7,tarde,0
3,7,noche,4
3,8,manana,10
3,8,tarde,10
3,8,noche,2
4,1,manana,1
4,1,tarde,0
4,1,noche,2
4,2,manana,0
4,2,tarde,2
4,2,noche,7
4,3,manana,5
4,3,tarde,8
4,3,noche,8
4,4,manana,4
4,4,tarde,2
4,4,noche,5
4,5,manana,2
4,5,tarde,4
4,5,noche,1
4,6,manana,0
4,6,tarde,5
4,6,noche,6
4,7,manana,4
4,7,tarde,8
4,7,noche,1
4,8,manana,4
4,8,tarde,9
4,8,noche,10
5,1,manana,1
5,1,tarde,7
5,1,noche,7
5,2,manana,8
5,2,tarde,5
5,2,noche,0
5,3,manana,7
5,3,tarde,9
5,3,noche,2
5,4,manana,5
5,4,tarde,2
5,4,noche,4
5,5,manana,1
5,5,tarde,9
5,5,noche,10
5,6,manana,1
5,6,tarde,3
5,6,noche,8
5,7,manana,0
5,7,tarde,0
5,7,noche,0
5,8,manana,3
5,8,tarde,0
5,8,noche,7
6,1,manana,5
