trabajador,dia,turno,disposicion
1,1,dia,0
1,1,noche,7
1,2,dia,9
1,2,noche,9
1,3,dia,1
1,3,noche,1
1,4,dia,8
1,4,noche,3
1,5,dia,8
1,5,noche,4
1,6,dia,2
1,6,noche,5
2,1,dia,1
2,1,noche,3
2,2,dia,5
2,2,noche,4
2,3,dia,2
2,3,noche,7
2,4,dia,8
2,4,noche,4
2,5,dia,9
2,5,noche,10
2,6,dia,8
2,6,noche,0
3,1,dia,10
3,1,noche,8
3,2,dia,4
3,2,noche,10
3,3,dia,1
3,3,noche,2
3,4,dia,4
3,4,noche,1
3,5,dia,1
3,5,noche,8
3,6,dia,2
3,6,noche,4
4,1,dia,4
4,1,noche,9
4,2,dia,3
4,2,noche,5
4,3,dia,3
4,3,noche,10
4,4,dia,10
4,4,noche,4
4,5,dia,8
4,5,noche,7
4,6,dia,4
4,6,noche,0
5,1,dia,1
5,1,noche,10
5,2,dia,6
5,2,noche,4
5,3,dia,0
5,3,noche,0
5,4,dia,5
5,4,noche,2
5,5,dia,10
5,5,noche,4
5,6,dia,2
5,6,noche,7
6,1,dia,8
6,1,noche,6
6,2,dia,8
6,2,noche,0
6,3,dia,1
6,3,noche,1
6,4,dia,2
6,4,noche,8
6,5,dia,0
6,5,noche,5
6,6,dia,9
6,6,noche,8
