id_instancia,tipo,dias,trabajadores,turnos
1,peq,6,6,lunes_1: dia=3; noche=3 | martes_1: dia=3; noche=3 | miercoles_1: dia=2; noche=3 | jueves_1: dia=2; noche=3 | viernes_1: dia=3; noche=3 | sabado_1: dia=3; noche=3
2,peq,6,5,lunes_1: dia=2; noche=3 | martes_1: dia=2; noche=2 | miercoles_1: dia=3; noche=1 | jueves_1: dia=1; noche=2 | viernes_1: dia=2; noche=3 | sabado_1: dia=2; noche=2
3,peq,5,5,lunes_1: dia=2; noche=3 | martes_1: dia=2; noche=2 | miercoles_1: dia=2; noche=3 | jueves_1: dia=2; noche=2 | viernes_1: dia=2; noche=3
4,peq,7,11,lunes_1: dia=5; noche=6 | martes_1: dia=6; noche=7 | miercoles_1: dia=6; noche=8 | jueves_1: dia=6; noche=5 | viernes_1: dia=6; noche=6 | sabado_1: dia=3; noche=6 | domingo_1: dia=5; noche=7
5,peq,5,12,lunes_1: dia=6; noche=8 | martes_1: dia=6; noche=5 | miercoles_1: dia=6; noche=8 | jueves_1: dia=7; noche=7 | viernes_1: dia=7; noche=3
6,med,10,35,lunes_1: manana=12; tarde=13; noche=14 | martes_1: manana=13; tarde=7; noche=9 | miercoles_1: manana=17; tarde=11; noche=16 | jueves_1: manana=16; tarde=9; noche=11 | viernes_1: manana=13; tarde=9; noche=10 | sabado_1: manana=13; tarde=16; noche=15 | domingo_1: manana=12; tarde=14; noche=12 | lunes_2: manana=12; tarde=11; noche=10 | martes_2: manana=11; tarde=9; noche=17 | miercoles_2: manana=6; tarde=14; noche=12
7,med,7,19,lunes_1: manana=7; tarde=7; noche=7 | martes_1: manana=6; tarde=9; noche=5 | miercoles_1: manana=7; tarde=8; noche=5 | jueves_1: manana=5; tarde=7; noche=5 | viernes_1: manana=7; tarde=7; noche=4 | sabado_1: manana=5; tarde=6; noche=4 | domingo_1: manana=7; tarde=5; noche=5
8,med,7,22,lunes_1: manana=7; tarde=7; noche=6 | martes_1: manana=7; tarde=4; noche=7 | miercoles_1: manana=6; tarde=9; noche=8 | jueves_1: manana=10; tarde=8; noche=5 | viernes_1: manana=10; tarde=7; noche=6 | sabado_1: manana=8; tarde=6; noche=8 | domingo_1: manana=6; tarde=7; noche=7
9,med,12,45,lunes_1: manana=18; tarde=19; noche=17 | martes_1: manana=16; tarde=16; noche=19 | miercoles_1: manana=17; tarde=17; noche=17 | jueves_1: manana=15; tarde=8; noche=11 | viernes_1: manana=19; tarde=14; noche=16 | sabado_1: manana=17; tarde=13; noche=19 | domingo_1: manana=15; tarde=14; noche=16 | lunes_2: manana=20; tarde=13; noche=14 | martes_2: manana=9; tarde=17; noche=14 | miercoles_2: manana=18; tarde=18; noche=21 | jueves_2: manana=16; tarde=15; noche=18 | viernes_2: manana=15; tarde=16; noche=18
10,med,11,15,lunes_1: manana=5; tarde=6; noche=5 | martes_1: manana=4; tarde=6; noche=6 | miercoles_1: manana=6; tarde=4; noche=5 | jueves_1: manana=7; tarde=4; noche=4 | viernes_1: manana=4; tarde=6; noche=4 | sabado_1: manana=6; tarde=5; noche=6 | domingo_1: manana=4; tarde=7; noche=5 | lunes_2: manana=5; tarde=5; noche=4 | martes_2: manana=5; tarde=5; noche=6 | miercoles_2: manana=6; tarde=5; noche=3 | jueves_2: manana=5; tarde=5; noche=4
